area,date,volume
83577.6,2021-03-05,756
73424.22,2021-03-10,645
84524.16,2021-03-11,766
10473.61,2021-02-10,89
375.06,2021-02-18,10
47979.91,2021-02-08,399
49503.80,2021-02-06,414
1487.08,2021-02-18,16
46788.58,2021-02-07,412
365.13,2021-02-18,3
38903.91,2021-02-20,340
139.43,2021-02-18,1
16203.12,2021-02-18,140
1190.48,2021-02-18,13
125.19,2021-02-18,1
48975.53,2021-02-21,439
52096.77,2021-02-23,483
40676.62,2021-02-19,355
71400.8,2021-03-12,607
53686.81,2021-02-24,470
44992.04,2021-01-18,394
30843.66,2021-02-09,237
58240.11,2021-01-19,514
31232.78,2021-01-17,276
3580.39,2021-02-18,37
63172.78,2021-01-20,544
62884.74,2021-01-21,545
59964.05,2021-02-25,511
22150.76,2021-01-25,206
72175.78,2021-01-25,660
88143.81,2021-01-27,711
33257.39,2021-01-31,291
86494.52,2021-01-30,716
80842.28,2021-01-28,677
65218.34,2021-02-02,518
71526.28,2021-01-26,570
57701.91,2021-01-22,512
105532.85,2020-12-28,945
35086.22,2021-02-01,304
85801.56,2021-01-29,710
264418.79,2020-12-30,2288
34920.94,2021-01-25,296
135545.96,2021-01-04,1175
90862.75,2021-01-05,763
571342.23,2020-12-26,5317
273416.1,2020-12-29,2539
91342.48,2021-01-06,761
320918.95,2020-12-27,2897
58188.8,2021-02-22,506
33661.72,2021-01-10,291
43350.3,2021-01-04,378
71246.68,2021-01-07,605
74147.82,2021-01-08,655
69666.93,2020-12-08,593
43313.56,2020-12-06,366
63700.63,2021-01-09,545
85229.81,2020-12-11,752
37258.51,2020-12-13,335
49770.88,2020-12-14,438
95270.28,2020-12-15,845
435871.15,2020-12-31,3806
140572.28,2020-12-16,1219
88318.49,2020-12-10,768
83384.36,2020-12-09,712
76555.23,2020-11-18,688
82544.57,2020-11-21,754
69320.79,2020-11-19,613
88224.46,2020-11-17,781
79644.09,2020-11-20,692
210670.79,2020-12-17,1840
47256.64,2020-11-16,397
59028.45,2020-11-22,548
116930.04,2020-11-26,1060
95271.64,2020-11-03,812
99988.14,2020-11-24,881
55347.91,2020-11-23,499
86125.08,2020-11-28,757
114055.16,2020-10-30,970
87576.53,2020-11-25,762
52403.70,2020-11-01,459
120842.00,2020-10-27,1027
57629.46,2020-11-02,497
118885.15,2020-10-28,1055
102252.43,2020-11-04,882
116946.13,2020-11-05,1015
112435.71,2020-11-06,1075
76909.81,2020-11-27,678
95544.77,2020-11-07,838
26569.36,2020-10-09,241
21309.94 ,2020-10-07,194
65800.62,2020-10-10,560
18061.41 ,2020-10-08,164
87096.77,2020-10-13,876
103521.00,2020-10-31,891
150864.01,2020-10-15,1406
